site,repr,sigma_idx,n_good,med_diag,med_off,med_ratio,frac_gt2,verdict
s0_conv_in,pooled,0,0,,,,,no_signal
s0_conv_in,pooled,1,0,,,,,no_signal
s0_conv_in,pooled,2,0,,,,,no_signal
s1_d_stage1,pooled,0,0,,,,,no_signal
s1_d_stage1,pooled,1,0,,,,,no_signal
s1_d_stage1,pooled,2,0,,,,,no_signal
s2_d_stage3,pooled,0,0,,,,,no_signal
s2_d_stage3,pooled,1,0,,,,,no_signal
s2_d_stage3,pooled,2,0,,,,,no_signal
s2_d_stage3,flat,0,0,,,,,no_signal
s2_d_stage3,flat,1,0,,,,,no_signal
s2_d_stage3,flat,2,0,,,,,no_signal
s3_mid,pooled,0,0,,,,,no_signal
s3_mid,pooled,1,0,,,,,no_signal
s3_mid,pooled,2,0,,,,,no_signal
s3_mid,flat,0,0,,,,,no_signal
s3_mid,flat,1,0,,,,,no_signal
s3_mid,flat,2,0,,,,,no_signal
s4_u_stage1,pooled,0,0,,,,,no_signal
s4_u_stage1,pooled,1,0,,,,,no_signal
s4_u_stage1,pooled,2,0,,,,,no_signal
s5_u_stage3,pooled,0,0,,,,,no_signal
s5_u_stage3,pooled,1,0,,,,,no_signal
s5_u_stage3,pooled,2,0,,,,,no_signal
